cpdm_source_id,cpdm_source_name,cpdm_source_stereotype,cpem_id,cpem_name,cpem_stereotype,trace_method,m2t_artifact,solidity_file,trace_status
{69F875BC-AFE8-46D6-8EBE-EC0C39DDEE57},1. Select Diamond,Activity,{89F68126-32BC-478b-B1F0-D17F41F3417D},1. Select Diamond,ContractFunction,inferred-by-M2M-rule/name,function selectDiamond(),ProcessContractP0PurchasingDiamondWithInsuranceContract.sol,traced
{5BC1C92F-57B1-4C69-A5E9-49289FCCE1CA},2. Create Order,Activity,{8AE9F726-7C39-4ca9-9372-1350A2C96E1A},2. Create Order,ContractFunction,inferred-by-M2M-rule/name,function createOrder(),ProcessContractP0PurchasingDiamondWithInsuranceContract.sol,traced
{8C708285-0293-4C81-8EEC-FA9875BFDF87},3. Make Payment,Activity,{D6A8BA22-9593-4196-9FE2-AF270F8F37B3},3. Make Payment,ContractFunction,inferred-by-M2M-rule/name,function makePayment(),ProcessContractP0PurchasingDiamondWithInsuranceContract.sol,traced
{8F0FC379-1057-4E72-AF29-26ED0312A018},4. Issue Insurance,Activity,{A96A09F0-E807-4140-96BC-6711B196A315},4. Issue Insurance,ContractFunction,inferred-by-M2M-rule/name,function issueInsurance(),ProcessContractP0PurchasingDiamondWithInsuranceContract.sol,traced
{1CBBF3A9-4482-4512-9D9C-E88908960ECC},5. Arrange Transport,Activity,{5F7EA7AE-81FB-4427-95C4-995544E1EC4B},5. Arrange Transport,ContractFunction,inferred-by-M2M-rule/name,function arrangeTransport(),ProcessContractP0PurchasingDiamondWithInsuranceContract.sol,traced
{DBDC6E3F-1547-4F3D-9CB7-142B42CB3984},6. Confirm Delivery,Activity,{A02B4FA5-55FC-4065-96BE-45DBD339503B},6. Confirm Delivery,ContractFunction,inferred-by-M2M-rule/name,function confirmDelivery(),ProcessContractP0PurchasingDiamondWithInsuranceContract.sol,traced
{C7A92C89-6CD2-48F6-B4D1-9F05DEAFA517},7. Quality Control,Activity,{C08249FE-F379-445e-A2A2-E2224A0A7FB1},7. Quality Control,ContractFunction,inferred-by-M2M-rule/name,function qualityControl(),ProcessContractP0PurchasingDiamondWithInsuranceContract.sol,traced
{3016F409-98C4-447D-ADD2-2FF745CC3D6C},8. Complete Order,Activity,{70ADF2B6-5D3E-4068-B31B-64BE1C0F65DD},8. Complete Order,ContractFunction,inferred-by-M2M-rule/name,function completeOrder(),ProcessContractP0PurchasingDiamondWithInsuranceContract.sol,traced
{C16EE7C0-A8F0-54B4-88C7-79088338E676},D1. Quality Approved?,Decision,{281440E9-4FED-4c17-8825-F95F98F3BD5C},Approved_D1. Quality Approved?,StateTransition,inferred-by-M2M-rule/name,,ProcessContractP0PurchasingDiamondWithInsuranceContract.sol,traced
,,,{E016B002-8C62-44d9-B1FC-9A007739A02D},Cape Town Diamonds,SupplyChainActor,,,ProcessContractP0PurchasingDiamondWithInsuranceContract.sol,not-traced
{DBDC6E3F-1547-4F3D-9CB7-142B42CB3984},6. Confirm Delivery,Activity,{83FAB90D-3CD2-4687-9FFB-6D2C4AE1969C},confirmDelivery,ContractFunction,inferred-by-M2M-rule/name,,ProcessContractP0PurchasingDiamondWithInsuranceContract.sol,traced
{39B92EA3-D1A4-556F-8AB7-9977546787CF},Delivery Confirmed,Event,{4C517C91-D767-43c3-AB91-0ADCA501EA9F},Delivery Confirmed,BlockchainEvent,inferred-by-M2M-rule/name,event DeliveryConfirmed,ProcessContractP0PurchasingDiamondWithInsuranceContract.sol,traced
{4D1E74BE-FA34-5064-ABE9-05A1853B22CF},Diamond Purchase Contract,Contract,{21BD2080-6FEF-4e1b-94CD-D2CFE126E401},Diamond Purchase Contract,SmartContract,inferred-by-M2M-rule/name,,ProcessContractP0PurchasingDiamondWithInsuranceContract.sol,traced
,,,{F8BE5426-F623-4dcd-AD01-75012457186B},End Buyer,SupplyChainActor,,,ProcessContractP0PurchasingDiamondWithInsuranceContract.sol,not-traced
{8C0250BE-0557-4800-B06E-4DE7A23C5415},Cape Town Diamonds,SupplyChainActor,{6FF16B3A-B26F-4496-B9B4-B8A1BF59F8D4},EthereumIdentity_CapeTownDiamonds,EthereumIdentity,inferred-by-M2M-rule/name,,ProcessContractP0PurchasingDiamondWithInsuranceContract.sol,traced
{39623251-3CFB-4AB8-B5D0-BD6FDF6D41EC},End Buyer,SupplyChainActor,{76DE3A8B-4298-4A01-BE69-CA27A7C3C161},EthereumIdentity_EndBuyer,EthereumIdentity,inferred-by-M2M-rule/name,,ProcessContractP0PurchasingDiamondWithInsuranceContract.sol,traced
{C55C4A56-55D6-4FBA-9270-333432E1C4E5},Insurance Provider,SupplyChainActor,{ABEF46D9-BAAF-4480-9B6F-F1188A474655},EthereumIdentity_InsuranceProvider,EthereumIdentity,inferred-by-M2M-rule/name,,ProcessContractP0PurchasingDiamondWithInsuranceContract.sol,traced
{974EC02E-63CD-4D2C-A197-CAD5F39FA90C},Lesotho Mine,SupplyChainActor,{F67FDE54-A3E6-4B54-A450-7C5E51920CA9},EthereumIdentity_LesothoMine,EthereumIdentity,inferred-by-M2M-rule/name,,ProcessContractP0PurchasingDiamondWithInsuranceContract.sol,traced
,,,{10CC098D-5250-4C85-8146-8EC636B4BAFB},EthereumIdentity_Logistics,EthereumIdentity,,,ProcessContractP0PurchasingDiamondWithInsuranceContract.sol,not-traced
